8.png	[[0.0, 0.0], 2.416595005989101]
18.png	[[0.0, 0.0], 0.14918482751176282]
28.png	[[-0.041327208280563354, -0.04131091758608818], 8.28557950437604]
38.png	[[0.0, 0.0], 17.919692089636307]
48.png	[[0.0, 0.0], 23.124917607306973]
58.png	[[0.0, 0.0], 28.896397411661727]
68.png	[[0.0, 0.0], 29.444121667938234]
78.png	[[0.0, 0.0], 28.69843856033652]
88.png	[[0.0, 0.0], 28.55818781835833]
98.png	[[0.0, 0.0], 28.792384738349586]
108.png	[[0.0, 0.0], 28.80649558760848]
118.png	[[0.15584741532802582, 0.15607953071594238], 28.742366782747528]
128.png	[[0.0, 0.0], 28.743295986759406]
138.png	[[0.05350431054830551, 0.05353164300322533], 28.76028293658439]
148.png	[[0.022565407678484917, 0.02257026918232441], 28.758775424347263]
158.png	[[0.27553224563598633, 0.27625855803489685], 28.75488785558979]
168.png	[[0.35788992047309875, 0.35911625623703003], 28.75711425498169]
178.png	[[2.6952407360076904, 2.766331195831299], 28.740095479997795]
188.png	[[0.2708282768726349, 0.27153000235557556], 28.895815159260508]
198.png	[[0.9277471303939819, 0.9360326528549194], 28.807092048062657]
208.png	[[0.9413174986839294, 0.9498484134674072], 28.738134276985797]
218.png	[[0.8714264631271362, 0.8787326216697693], 28.777718013145854]
228.png	[[0.800044059753418, 0.8061981797218323], 28.775909211023986]
238.png	[[0.745042622089386, 0.7503769397735596], 28.760989831104656]
248.png	[[1.0405665636062622, 1.0510008335113525], 28.765042369329795]
258.png	[[6.9473876953125, 7.4378767013549805], 28.718375172395643]
268.png	[[6.8456830978393555, 7.321504592895508], 28.8942532863143]
278.png	[[7.428763389587402, 7.991859436035156], 28.938090429105564]
288.png	[[5.776376247406006, 6.11205530166626], 28.974100935178868]
298.png	[[-2.29350209236145, -2.2444095611572266], 28.942698055139775]
308.png	[[-5.805912017822266, -5.502084255218506], 28.944353574624724]
318.png	[[-9.197247505187988, -8.460594177246094], 28.94099969092962]
328.png	[[-9.407865524291992, -8.63874626159668], 28.902003728216307]
338.png	[[-3.8818557262420654, -3.7434020042419434], 29.026504758735836]
348.png	[[-12.432374000549316, -11.130425453186035], 28.925103174277613]
358.png	[[-7.643555164337158, -7.126644134521484], 28.95659053893216]
368.png	[[-9.273289680480957, -8.52498722076416], 28.93829510743398]
378.png	[[-6.356325149536133, -5.994172096252441], 28.91887039912395]
388.png	[[-6.355870723724365, -5.993766784667969], 28.98229514170267]
398.png	[[-7.90588903427124, -7.354358673095703], 28.97823395779504]
408.png	[[-12.031272888183594, -10.80690860748291], 28.915111214881225]
418.png	[[-7.910844326019287, -7.3586506843566895], 28.892848523281355]
428.png	[[-7.002297401428223, -6.565652370452881], 28.998287871722006]
438.png	[[-8.493043899536133, -7.860344409942627], 28.950378601619793]
448.png	[[-14.367344856262207, -12.663151741027832], 28.843813768995002]
458.png	[[-11.061627388000488, -10.016253471374512], 28.90807429275138]
468.png	[[-7.388619899749756, -6.90436315536499], 28.974422355336742]
478.png	[[-13.296899795532227, -11.820866584777832], 28.926155676721788]
488.png	[[-6.180038928985596, -5.837086200714111], 29.049732836583196]
498.png	[[-4.163748264312744, -4.004901885986328], 29.08346789925012]
508.png	[[-9.725272178649902, -8.906046867370605], 28.95323126079318]
518.png	[[-7.14367151260376, -6.68986701965332], 28.92152001333004]
528.png	[[-7.887908458709717, -7.338784217834473], 28.96058360598563]
538.png	[[0.29723790287971497, 0.2980833053588867], 28.938697867630523]
548.png	[[6.753537654876709, 7.216273784637451], 19.446365514113594]
558.png	[[9.063239097595215, 9.912711143493652], 27.19156698966553]
568.png	[[4.529759407043457, 4.733928203582764], 28.264165023596174]
578.png	[[0.4095364212989807, 0.4111430048942566], 29.065608463517446]
588.png	[[0.3558746874332428, 0.35708728432655334], 29.414919690481085]
598.png	[[-0.05611499771475792, -0.05608496814966202], 28.387708568017302]
608.png	[[0.019140737131237984, 0.01914423331618309], 28.584444175972013]
618.png	[[0.037854138761758804, 0.03786781430244446], 28.565851276350074]
628.png	[[-0.015318243764340878, -0.015316004864871502], 27.875730159562178]
638.png	[[0.0, 0.0], 26.947357438680154]
648.png	[[0.0, 0.0], 25.732202633438664]
658.png	[[0.0, 0.0], 24.851706802126696]
668.png	[[-0.03837968036532402, -0.03836563229560852], 23.861197414364725]
678.png	[[0.0, 0.0], 22.817719401821062]
688.png	[[0.0, 0.0], 21.83658607253612]
698.png	[[0.0, 0.0], 17.461095906665246]
708.png	[[-0.012301020324230194, -0.012299577705562115], 0.03152955029288974]
718.png	[[0.0, 0.0], 0.03197408146778365]
728.png	[[0.0, 0.0], 0.03200366305609754]
738.png	[[0.0, 0.0], 0.03200712207678756]
748.png	[[-0.4545786380767822, -0.4526154398918152], 0.032007772475481686]
758.png	[[-4.1827826499938965, -4.022510528564453], 0.03200516402732509]
768.png	[[-4.1827826499938965, -4.022510528564453], 0.001710948928565641]
778.png	[[-4.1827826499938965, -4.022510528564453], 9.664537230214875e-05]
788.png	[[-4.1827826499938965, -4.022510528564453], 3.7079284452871893e-06]
