8.png	[[0.0, 0.0], 3.5280002832412722]
18.png	[[-0.030787913128733635, -0.03077886812388897], 0.08488150164509446]
28.png	[[-0.049288131296634674, -0.04926495999097824], 8.326334027865357]
38.png	[[0.0, 0.0], 17.82766924279536]
48.png	[[0.0, 0.0], 22.88564702890967]
58.png	[[0.037779346108436584, 0.03779296949505806], 28.906909659639414]
68.png	[[0.0, 0.0], 29.609886270106106]
78.png	[[0.0, 0.0], 28.608093163325957]
88.png	[[0.0, 0.0], 28.509635122980114]
98.png	[[0.0, 0.0], 28.821545620371566]
108.png	[[0.0, 0.0], 28.817428189390785]
118.png	[[0.0, 0.0], 28.733741550277543]
128.png	[[0.0, 0.0], 28.740916989698135]
138.png	[[0.0, 0.0], 28.76291280083185]
148.png	[[0.0, 0.0], 28.759197254472294]
158.png	[[0.0, 0.0], 28.75360468112651]
168.png	[[0.0, 0.0], 28.75500779128368]
178.png	[[0.0, 0.0], 28.756394713022974]
188.png	[[0.0, 0.0], 28.75592884834182]
198.png	[[0.0, 0.0], 28.755588030380853]
208.png	[[0.0, 0.0], 28.755732216297634]
218.png	[[0.0, 0.0], 28.755815627465335]
228.png	[[0.0, 0.0], 28.755788001275256]
238.png	[[0.03783946856856346, 0.03785313665866852], 28.755753836294538]
248.png	[[0.0, 0.0], 28.755760569089137]
258.png	[[0.0, 0.0], 28.755772594523947]
268.png	[[0.0, 0.0], 28.755776798606288]
278.png	[[0.0, 0.0], 28.69205050180831]
288.png	[[0.0, 0.0], 28.805209314380132]
298.png	[[0.0, 0.0], 28.769202443246623]
308.png	[[-0.03785473853349686, -0.0378410704433918], 28.741623756844017]
318.png	[[0.0, 0.0], 28.753294760701856]
328.png	[[0.0, 0.0], 28.759719956920158]
338.png	[[0.0, 0.0], 28.756126219755462]
348.png	[[-0.010806361213326454, -0.01080524642020464], 28.768695241611532]
358.png	[[0.0, 0.0], 35.202468420360475]
368.png	[[0.0, 0.0], 44.58120281452902]
378.png	[[0.0, 0.0], 51.59558329920773]
388.png	[[0.0, 0.0], 57.33487339221684]
398.png	[[-0.004888435825705528, -0.0048882076516747475], 62.942203665755365]
408.png	[[0.0, 0.0], 68.46199815993248]
418.png	[[0.0, 0.0], 73.03895535392532]
428.png	[[0.0, 0.0], 76.96588196578345]
438.png	[[0.0, 0.0], 80.6534300696712]
448.png	[[0.0, 0.0], 84.34115624308484]
458.png	[[0.0, 0.0], 87.69495137085995]
468.png	[[0.0, 0.0], 87.94206334879019]
478.png	[[0.0, 0.0], 87.84759902686561]
488.png	[[0.011604937724769115, 0.011606222949922085], 87.85803546407055]
498.png	[[0.004631848074495792, 0.004632052965462208], 87.85806258455811]
508.png	[[0.0, 0.0], 87.85783750904746]
518.png	[[-0.016238277778029442, -0.01623576320707798], 87.85785417686634]
